"","Passenger.ID","Name","Sex","Email","Does.PAX.have.loyalty.card."
"1",1,"Athari,  Mohammad","F","AthariMohammad@yahoo.com",0
"2",2,"Bahadori,  Mohammad","M","BahadoriMohammad@hotmail.com",0
"3",3,"Clark,  Wayne","F","ClarkWayne@hotmail.com",0
"4",4,"Hunt,  Rose Ann","F","HuntRose Ann@gmail.com",0
"5",5,"Gibson, ","M","Gibson@hotmail.com",0
"6",6,"Nebeker, ","F","Nebeker@msn.com",1
"7",7,"Feiertag,  Thomas","F","FeiertagThomas@yahoo.com",0
"8",8,"Sheridan,  James","M","SheridanJames@gmail.com",0
"9",9,"Klein,  Richard","M","KleinRichard@gmail.com",0
"16",16,"Torgovnick, ","M","Torgovnick@msn.com",0
"17",17,"Schiuma,  Anthony","F","SchiumaAnthony@hotmail.com",0
"18",18,"Marino,  Joseph","F","MarinoJoseph@yahoo.com",1
"19",19,"Dixit,  Rajiv","M","DixitRajiv@yahoo.com",1
"20",20,"Kim,  Soo","F","KimSoo@gmail.com",0
"21",21,"Chang,  Han","F","ChangHan@yahoo.com",0
"22",22,"Park,  Jung","M","ParkJung@hotmail.com",0
"26",26,"Reagan, ","F","Reagan@msn.com",0
"27",27,"Rhee,  Richard","M","RheeRichard@yahoo.com",1
"28",28,"Kim,  John","F","KimJohn@hotmail.com",0
"29",29,"Chung,  Jin","F","ChungJin@yahoo.com",1
"30",30,"Obryon,  James","M","ObryonJames@gmail.com",0
"31",31,"Cook,  Francis","M","CookFrancis@yahoo.com",0
"32",32,"Friend,  Paul","M","FriendPaul@yahoo.com",0
"33",33,"Brown,  William","M","BrownWilliam@hotmail.com",0
"34",34,"Knupp,  Donna","F","KnuppDonna@gmail.com",1
"35",35,"Wilson,  James","M","WilsonJames@gmail.com",1
"39",39,"Mcevoy,  Robert","M","McevoyRobert@yahoo.com",1
"40",40,"Tylenda,  Carleen","M","TylendaCarleen@yahoo.com",0
"41",41,"Giannamore,  Michael","M","GiannamoreMichael@gmail.com",0
"42",42,"Moszkowicz,  Marvin","F","MoszkowiczMarvin@msn.com",1
"43",43,"Weisenreider,  John","F","WeisenreiderJohn@gmail.com",1
"44",44,"Sedacca,  Paul","M","SedaccaPaul@msn.com",0
"45",45,"Graham,  Robert","F","GrahamRobert@gmail.com",1
"46",46,"Manganiello,  Charles","M","ManganielloCharles@msn.com",1
"47",47,"Buchhammer, ","M","Buchhammer@hotmail.com",0
"48",48,"Halibey, ","F","Halibey@yahoo.com",0
